date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:35	6503/6503	---MCZ	200	added ('OK')	application/json	date:Wed,%2024%20Mar%202021%2001:36:37%20GMT	https://bellezza.bcitwebdeveloper.ca/wp-json/wp/v2/pages/21	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/wp-json/wp/v2/pages/21.json	(from https://bellezza.bcitwebdeveloper.ca/contact/)
18:36:36	2311/2311	---MCZ	200	added ('OK')	application/json	date:Wed,%2024%20Mar%202021%2001:36:38%20GMT	https://bellezza.bcitwebdeveloper.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbellezza.bcitwebdeveloper.ca%2Fcontact%2F	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/wp-json/oembed/1.0/embede5e9.json	(from https://bellezza.bcitwebdeveloper.ca/contact/)
18:36:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Mar%202021%2001:36:38%20GMT	https://bellezza.bcitwebdeveloper.ca/?p=21	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/index3965.html	(from https://bellezza.bcitwebdeveloper.ca/contact/)
18:36:41	2399/2399	---MCZ	200	added ('OK')	text/xml	date:Wed,%2024%20Mar%202021%2001:36:38%20GMT	https://bellezza.bcitwebdeveloper.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbellezza.bcitwebdeveloper.ca%2Fcontact%2F&format=xml	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/wp-json/oembed/1.0/embeda815	(from https://bellezza.bcitwebdeveloper.ca/contact/)
18:36:42	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:44%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-57x57.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:43	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:45%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-114x114.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:44	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:46%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-72x72.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:45	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:47%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-144x144.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:45	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:48%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-60x60.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:46	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:48%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-120x120.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
